Mean488,Mean560,Cell Status
1199.83,431.34,Live
16931.32,299.99,Live
13972.53,295.25,Live
15232.8,294.01,Live
17513.74,314.6,Live
16051.16,310.95,Live
1512.24,470.87,Live
1815.79,798.39,Live
1102.02,379.64,Live
15793.12,310.74,Live
1097.24,1808.55,Live
1670.18,5856.48,Live
1774.01,354.41,Live
823.56,295.43,Live
941.14,373.76,Live
1090.79,827.72,Live
18219.68,299.85,Live
22669.49,331.69,Live
1266.04,656.57,Live
1246.63,441.16,Live
2432.69,625.52,Live
19735.2,303,Live
14637.69,317.59,Live
1399.4,1878.02,Live
14666.63,297.81,Live
12062.87,698.61,Live
1838.77,5277.94,Live
19702.55,309.2,Live
24325.52,582.78,Live
1891.93,2629.89,Live
29748.12,353.02,Live
12676.78,344.82,Live
9144.56,8322,Live
1448.72,2165.75,Live
16109.14,306.16,Live
4488.23,526.17,Live
1448.16,545.58,Live
1209.95,438.77,Live
14681.75,313.91,Live
1580.13,755.02,Live
8569.44,374.72,Live
21498.2,329.19,Live
17628.86,319.84,Live
17485.62,342.57,Live
14149.94,299.81,Live
15256,303.6,Live
1008.25,2418.3,Live
990.03,350.86,Live
1269.69,1578.8,Live
1241.37,330.4,Live
7510.44,531.96,Live
17968.88,315.59,Live
4826.71,4788.86,Live
13218.71,296.23,Live
18611.85,306.55,Live
6285.06,1905.75,Live
15305.13,311.63,Live
1567.98,1136.92,Live
1188.17,945.12,Live
1318.74,1273.96,Live
15190.41,842.85,Live
2608.8,865.96,Live
2910.91,2411.9,Live
914.73,317.63,Live
9005.55,397.45,Live
2496.45,609.55,Live
1490.58,504,Live
1139.03,1339.72,Live
1159.83,1845.5,Live
2118.43,736.45,Live
912.33,315.26,Live
1322.94,1778.98,Live
1243.64,571.49,Live
3883.94,1211.31,Live
2304.31,743.42,Live
1969.04,1315.69,Live
11059.69,605.85,Live
12848.38,430.19,Live
1190.27,3715.4,Live
19716.81,331.67,Live
12289.19,299.48,Live
15451.78,333.75,Live
1348.08,4153.05,Live
1504.48,3387.76,Live
1520.93,651.83,Live
3306.94,6690.83,Live
1248.2,1654.3,Live
19097.83,311.81,Live
913.61,331.23,Live
13403.12,483.28,Live
19002.92,313.86,Live
1262.21,432.32,Live
1614.16,1152.44,Live
13522.32,300.45,Live
1582.8,481.56,Live
17690.77,335.06,Live
16885.59,310.19,Live
13766.73,314.96,Live
1075.5,376.84,Live
1405.68,663.64,Live
19360.44,335.08,Live
